NAZIONALITA,AREOPORTO_ARRIVO,AREOPORTO_PARTENZA,DATA_PARTENZA,CITTA_ARR,CITTA_PARTENZA,PAESE_PART,ZONA,ENTRATI,INVESTIGATI,ALLARMATI,TIPO_DOCUMENTO,GENERE,FASCIA_ETA,FLAG_TRANSITO,COMPAGNIA_AEREA,NUMERO_VOLO,ESITO_CONTROLLO,note_operatore,codice_rischio
alb,vce,tia,2024-01-18 21:20:00,venezia,tirana,albania,4,22,22,6,visto,f,18-30,singola tratta,wizz air malta,w46718,fermato,,
alb,mxp,stn,2024-01-09 13:40:00,milano,londra,regno unito,2,1,1,0,visto,f,46-60,singola tratta,ryanair dac,fr2759,segnalato,,
alb,cta,stn,2024-02-21 14:35:00,catania,londra,regno unito,7,2,2,0,passaporto,f,,singola tratta,ryanair dac,fr5059,,,
afg,fco,mhd,2024-01-16 09:15:00,roma,mashad,iran,5,1,2,0,visto,m,,singola tratta,turkish airlines,tk1861,respinto,,
alb,aoi,tia,2024-01-05 12:00:00,ancona,tirana,albania,8,68,68,14,,m,0-17,singola tratta,albawings,2b 0195,respinto,,
alb,cta,tia,2024-01-03 13:25:00,catania,tirana,albania,7,64,64,8,visto,f,31-45,singola tratta,ryanair dac,fr8370,fermato,,
,blq,tia,2024-01-03 06:20:00,bologna,tirana,albania,8,115,115,21,visto,,61+,singola tratta,wizz air malta,w46681,segnalato,,
alb,tsf,tia,2024-02-07 16:50:00,treviso,tirana,albania,4,26,26,3,passaporto,m,0-17,singola tratta,wizz air malta,w44809,,,
alb,lin,lcy,2024-01-12 19:05:00,milano,londra,regno unito,2,1,3,0,visto,f,31-45,singola tratta,ita airways,az0219,,,
alb,mxp,jed,2024-01-24 20:45:00,milano,jeddah,arabia saudita,2,2,2,0,visto,f,,singola tratta,wizz air malta,w45692,respinto,,
alb,mxp,jed,2024-02-06 19:40:00,milano,jeddah,arabia saudita,2,4,4,0,passaporto,f,46-60,singola tratta,wizz air malta,w45692,in attesa,,
alb,bri,tia,2024-01-18 11:35:00,bari,tirana,albania,9,37,37,4,carta d'identità,m,31-45,singola tratta,wizz air malta,w46601,in attesa,,
alb,cia,tia,2024-02-06 08:25:00,roma,tirana,albania,5,85,85,7,permesso di soggiorno,f,31-45,singola tratta,ryanair dac,fr8360,fermato,,
alb,mxp,tia,2024-01-21 12:50:00,milano,tirana,albania,2,55,55,9,passaporto,m,18-30,singola tratta,air albania,zb2003,segnalato,,
,mxp,ewr,2024-02-19 18:25:00,milano,newark,stati uniti,2,1,1,1,carta d'identità,m,61+,singola tratta,united airlines,ua0019,,,
afg,psa,kbl,2024-01-11 08:00:00,pisa,kabul,afghanistan,8,1,1,0,carta d'identità,f,,singola tratta,fly dubai,fz1295,fermato,,
alb,mxp,beg,2024-01-27 07:00:00,milano,belgrado,serbia,2,1,1,0,visto,f,0-17,singola tratta,air serbia,ju0540,in attesa,,
alb,flr,lgw,2024-02-19 15:05:00,firenze,londra,regno unito,8,1,2,0,passaporto,,61+,singola tratta,vueling airlines,vy6207,segnalato,,
alb,blq,tia,2024-01-12 11:15:00,bologna,tirana,albania,8,113,113,18,carta d'identità,f,31-45,singola tratta,wizz air malta,w43877,,,
alb,cta,tia,2024-01-27 08:20:00,catania,tirana,albania,7,37,37,3,visto,m,18-30,singola tratta,ryanair dac,fr8370,ok,,
alb,fco,lgw,2024-02-26 10:00:00,roma,londra,regno unito,5,1,1,0,carta d'identità,f,31-45,singola tratta,vueling airlines,vy6229,ok,,
alb,fco,tia,2024-01-02 20:50:00,roma,tirana,albania,5,48,0,0,permesso di soggiorno,f,46-60,singola tratta,wizz air malta,w46691,,,
alb,fco,jfk,2024-01-12 21:00:00,roma,new york,stati uniti,5,2,2,0,visto,m,0-17,singola tratta,ita airways,az0611,in attesa,,
afg,mxp,kwi,2024-02-21 12:35:00,milano,kuwait city,kuwait,2,1,1,0,passaporto,m,61+,singola tratta,turkish airlines,tk1895,,,
alb,mxp,stn,2024-01-02 21:20:00,milano,londra,regno unito,2,1,1,1,visto,f,31-45,singola tratta,ryanair dac,fr8753,fermato,,
alb,blq,tia,2024-02-10 07:10:00,bologna,tirana,albania,8,105,105,3,passaporto,,46-60,singola tratta,wizz air malta,w46681,,,
alb,mxp,ist,2024-01-09 15:50:00,milano,istanbul,turchia,2,1,1,1,carta d'identità,f,61+,singola tratta,turkish airlines,tk1875,respinto,,
alb,bgy,saw,2024-02-03 00:00:00,bergamo,istanbul,turchia,2,1,1,1,passaporto,m,31-45,singola tratta,pegasus airlines,pc1213,in attesa,,
alb,mxp,dxb,2024-02-02 09:05:00,milano,dubai,emirati arabi uniti,2,,,,,m,18-30,singola tratta,emirates,ek0205,in attesa,,
alb,psa,tia,2024-02-03 16:55:00,pisa,tirana,albania,8,118,118,13,permesso di soggiorno,m,,singola tratta,ryanair dac,fr8391,,,
alb,bgy,saw,2024-01-12 13:35:00,bergamo,istanbul,turchia,2,2,2,1,,f,18-30,singola tratta,pegasus airlines,pc1213,,,
alb,fco,saw,2024-01-18 11:00:00,roma,istanbul,turchia,5,1,1,1,,m,61+,singola tratta,turkish airlines,tk7660,fermato,,
alb,fco,saw,2024-02-21 11:20:00,roma,istanbul,turchia,5,1,1,0,,f,46-60,singola tratta,turkish airlines,tk7660,respinto,,
alb,mxp,mru,2024-01-24 11:05:00,milano,plaisance,mauritius,2,1,1,0,passaporto,,31-45,singola tratta,neos s.p.a.,no0289,,,
alb,bgy,rmf,2024-02-17 15:30:00,bergamo,marsa alam,egitto,2,1,1,1,passaporto,f,46-60,singola tratta,albastar,ap2725,in attesa,,
alb,mxp,tia,2024-02-25 12:50:00,milano,tirana,albania,2,82,82,20,,f,46-60,singola tratta,air albania,zb2003,fermato,,
alb,lin,gig,2024-02-13 15:45:00,milano,rio de janeiro,brasile,2,1,1,1,visto,,31-45,singola tratta,ita airways,az0673,fermato,,
alb,mxp,dxb,2024-02-16 09:05:00,milano,dubai,emirati arabi uniti,2,1,1,0,visto,f,0-17,singola tratta,emirates,ek0205,respinto,,
alb,bgy,tia,2024-02-17 22:05:00,bergamo,tirana,albania,2,54,54,11,passaporto,,31-45,singola tratta,ryanair dac,fr8356,in attesa,,
,psa,tia,2024-01-20 15:10:00,pisa,tirana,albania,8,93,93,97,passaporto,f,46-60,singola tratta,wizz air malta,w46649,respinto,,
alb,fco,tia,2024-01-17 00:00:00,roma,tirana,albania,5,100,100,4,,m,18-30,singola tratta,wizz air malta,w43857,,,
alb,fco,tia,2024-02-06 06:10:00,roma,tirana,albania,5,67,67,4,,m,46-60,singola tratta,wizz air malta,w43857,in attesa,,
alb,blq,tia,2024-02-19 11:15:00,bologna,tirana,albania,8,100,100,12,visto,,46-60,singola tratta,wizz air malta,w43877,in attesa,,
ago,fco,lad,2024-01-30 00:05:00,roma,luanda,angola,5,2,4,0,,f,31-45,singola tratta,ethiopian airlines,et0712,in attesa,,
alb,goa,tia,2024-01-28 16:55:00,genova,tirana,albania,1,5,0,0,permesso di soggiorno,m,,singola tratta,ita airways,az0585,,,
alb,mxp,tia,2024-01-28 20:10:00,milano,tirana,albania,2,48,48,11,visto,m,31-45,singola tratta,wizz air malta,w46609,,,
are,bgy,dxb,2024-01-26 18:00:00,bergamo,dubai,emirati arabi uniti,2,5,5,0,,m,46-60,singola tratta,fly dubai,fz1571,ok,,
alb,fco,yhz,2024-01-21 20:55:00,roma,halifax,canada,5,1,1,5,permesso di soggiorno,f,31-45,singola tratta,air canada,ac0892,segnalato,,
alb,blq,tia,2024-02-25 19:45:00,bologna,tirana,albania,8,68,68,19,carta d'identità,m,,singola tratta,wizz air malta,w43877,in attesa,,
alb,bri,tia,2024-01-26 16:55:00,bari,tirana,albania,9,41,44,1,visto,m,31-45,singola tratta,wizz air malta,w46647,segnalato,,
alb,blq,stn,2024-02-02 08:55:00,bologna,londra,regno unito,8,2,2,0,,f,61+,singola tratta,ryanair dac,fr0194,,,
alb,tsf,tia,2024-02-23 06:50:00,treviso,tirana,albania,4,99,99,3,,f,0-17,singola tratta,wizz air malta,w43851,ok,,
alb,vrn,tia,2024-02-03 19:50:00,verona,tirana,albania,4,136,136,21,permesso di soggiorno,f,,singola tratta,wizz air malta,w43849,respinto,,
alb,bri,stn,2024-02-10 06:50:00,bari,londra,regno unito,9,1,1,6,visto,f,31-45,singola tratta,ryanair dac,fr-1905,,,
,bgy,tia,2024-02-19 17:10:00,bergamo,tirana,albania,2,55,55,6,permesso di soggiorno,m,,singola tratta,ryanair dac,fr-8356,segnalato,,
alb,mxp,tia,2024-01-16 12:55:00,milano,tirana,albania,2,53,53,13,carta d'identità,f,,singola tratta,air albania,zb2003,ok,,
alb,cta,tia,2024-01-17 12:55:00,catania,tirana,albania,7,10,10,2,,f,0-17,singola tratta,wizz air malta,w46605,segnalato,,
alb,trn,stn,2024-01-17 09:25:00,torino,londra,regno unito,1,1,1,0,visto,m,46-60,singola tratta,ryanair dac,fr0464,in attesa,,
afg,fco,syd,2024-02-25 00:00:00,roma,sidney,australia,5,1,0,0,passaporto,f,61+,singola tratta,china eastern airlines,mu0787,in attesa,,
,bgy,tia,2024-01-11 00:00:00,bergamo,tirana,albania,2,97,97,17,,m,18-30,singola tratta,wizz air malta,w43885,in attesa,,
alb,vrn,stn,2024-01-12 05:45:00,verona,londra,regno unito,4,1,1,0,carta d'identità,m,46-60,singola tratta,ryanair dac,fr2338,fermato,,
alb,mxp,lgw,2024-02-08 09:00:00,milano,londra,regno unito,2,1,1,0,,f,61+,singola tratta,wizz air malta,w45785,in attesa,,
alb,psa,tia,2024-02-19 16:45:00,pisa,tirana,albania,8,104,104,22,carta d'identità,m,0-17,singola tratta,wizz air malta,w46649,respinto,,
alb,mxp,stn,2024-01-03 13:55:00,milano,londra,regno unito,2,1,1,2,passaporto,f,46-60,singola tratta,ryanair dac,fr2759,segnalato,,
alb,cta,tia,2024-02-04 22:05:00,catania,tirana,albania,7,2,2,1,visto,f,46-60,singola tratta,ryanair dac,fr8370,,,
afg,fco,saw,2024-01-19 15:35:00,roma,istanbul,turchia,5,2,2,1,,f,18-30,singola tratta,pegasus airlines,pc1225,fermato,,
alb,bgy,tia,2024-01-29 11:15:00,bergamo,tirana,albania,2,54,54,5,,m,61+,singola tratta,wizz air malta,w43885,in attesa,,
alb,mxp,ist,2024-02-16 16:10:00,milano,istanbul,turchia,2,1,1,0,,f,0-17,singola tratta,turkish airlines,tk1875,,,
alb,mxp,mle,2024-01-28 02:20:00,milano,male,maldive,2,1,1,1,carta d'identità,m,46-60,singola tratta,qatar airways,qr0123,,,
alb,bgy,stn,2024-02-21 07:15:00,bergamo,londra,regno unito,2,2,2,0,,f,31-45,singola tratta,ryanair dac,fr2696,fermato,,
afg,fco,dmm,2024-02-16 13:05:00,roma,dammam,arabia saudita,5,1,1,1,,m,0-17,singola tratta,turkish airlines,tk1865,segnalato,,
alb,mxp,jfk,2024-01-02 20:45:00,milano,new york,stati uniti,2,1,1,0,,m,46-60,singola tratta,ita airways,az0605,in attesa,,
alb,vrn,tia,2024-01-07 17:20:00,verona,tirana,albania,4,114,114,20,passaporto,m,,singola tratta,albawings,2b0235,respinto,,
alb,blq,tia,2024-02-20 19:55:00,bologna,tirana,albania,8,91,91,16,visto,m,18-30,singola tratta,wizz air malta,w43847,respinto,,
,bri,tia,2024-01-21 11:35:00,bari,tirana,albania,9,49,49,9,visto,m,46-60,singola tratta,wizz air malta,w46601,respinto,,
alb,fco,ssh,2024-01-06 14:00:00,roma,sharm el sheikh,egitto,5,1,1,1,,f,0-17,singola tratta,egyptair,ms0793,ok,,
alb,blq,tia,2024-01-30 19:55:00,bologna,tirana,albania,8,36,36,11,permesso di soggiorno,,18-30,singola tratta,wizz air malta,w43847,in attesa,,
alb,psa,stn,2024-01-20 07:40:00,pisa,londra,regno unito,8,1,1,0,,m,18-30,singola tratta,ryanair dac,fr0584,respinto,,
alb,mxp,jfk,2024-02-10 18:15:00,milano,new york,stati uniti,2,2,2,0,,m,46-60,singola tratta,american airlines,aa0198,in attesa,,
alb,mxp,jfk,2024-02-26 18:15:00,milano,new york,stati uniti,2,,,,passaporto,m,0-17,singola tratta,american airlines,aa-0198,in attesa,,
alb,bgy,tia,2024-01-12 06:10:00,bergamo,tirana,albania,2,,,,visto,f,61+,singola tratta,wizz air malta,w43845,in attesa,,
and,vce,stn,2024-02-23 00:00:00,venezia,londra,regno unito,4,1,1,0,carta d'identità,f,61+,singola tratta,ryanair dac,fr0798,fermato,,
alb,vrn,tia,2024-02-23 16:20:00,verona,tirana,albania,4,124,124,5,passaporto,m,31-45,singola tratta,wizz air malta,w43849,,,
alb,mxp,man,2024-01-11 11:50:00,milano,manchester,regno unito,2,1,1,0,passaporto,f,18-30,singola tratta,ryanair dac,fr6816,,,
afg,fco,saw,2024-01-08 00:00:00,roma,istanbul,turchia,5,1,1,0,visto,f,46-60,singola tratta,pegasus airlines,pc1223,in attesa,,
alb,flr,tia,2024-01-09 07:20:00,firenze,tirana,albania,8,,,,permesso di soggiorno,m,31-45,singola tratta,albawings,2b0267,in attesa,,
alb,mxp,lgw,2024-02-21 07:50:00,milano,londra,regno unito,2,,,,permesso di soggiorno,m,31-45,singola tratta,wizz air malta,w45785,fermato,,
alb,psa,stn,2024-01-19 12:45:00,pisa,londra,regno unito,8,2,2,0,carta d'identità,,0-17,singola tratta,ryanair dac,fr0584,in attesa,,
are,bgy,shj,2024-01-24 07:15:00,bergamo,sharjah,emirati arabi uniti,2,7,7,0,,f,31-45,singola tratta,air arabia,g90710,respinto,,
alb,fco,dxb,2024-01-18 15:05:00,roma,dubai,emirati arabi uniti,5,1,1,0,passaporto,m,46-60,singola tratta,emirates,ek0095,,,
alb,fco,tia,2024-01-26 19:55:00,roma,tirana,albania,5,68,68,5,,f,18-30,singola tratta,wizz air malta,w46691,in attesa,,
alb,mxp,dxb,2024-01-28 15:55:00,milano,dubai,emirati arabi uniti,2,1,1,1,visto,m,31-45,singola tratta,emirates,ek0091,,,
alb,ciy,tia,2024-01-13 12:55:00,comiso,tirana,albania,7,65,65,7,,m,0-17,singola tratta,wizz air malta,w46673,fermato,,
alb,flr,jfk,2024-01-22 21:00:00,firenze,new york,stati uniti,8,1,1,6,permesso di soggiorno,f,0-17,singola tratta,ita airways,az0611,fermato,,
alb,mxp,jfk,2024-02-17 22:20:00,milano,new york,stati uniti,2,1,1,1,passaporto,f,18-30,singola tratta,emirates,ek0206,segnalato,,
alb,vce,stn,2024-02-15 18:35:00,venezia,londra,regno unito,4,1,1,0,,f,,singola tratta,ryanair dac,fr0798,ok,,
,psa,rak,2024-02-24 00:00:00,pisa,marrakech,marocco,8,1,1,0,carta d'identità,,0-17,singola tratta,ryanair dac,fr8870,in attesa,,
alb,fco,tia,2024-01-03 00:00:00,roma,tirana,albania,5,35,0,0,carta d'identità,f,18-30,singola tratta,ita airways,az0507,fermato,,
alb,blq,tia,2024-02-06 18:10:00,bologna,tirana,albania,8,73,73,13,carta d'identità,m,61+,singola tratta,ryanair dac,fr8399,segnalato,,
alb,mxp,tia,2024-02-26 06:20:00,milano,tirana,albania,2,117,117,13,,f,61+,singola tratta,wizz air malta,w46607,segnalato,,
alb,bgy,tia,2024-02-29 21:55:00,bergamo,tirana,albania,2,77,77,14,carta d'identità,f,18-30,singola tratta,ryanair dac,fr8356,,,
alb,cia,stn,2024-01-02 06:00:00,roma,londra,regno unito,5,1,1,1,,m,0-17,singola tratta,ryanair dac,fr2455,respinto,,
alb,fco,bos,2024-02-02 17:55:00,roma,boston,stati uniti,5,2,2,0,carta d'identità,m,0-17,singola tratta,turkish airlines,tk1863,segnalato,,
alb,blq,dfw,2024-02-24 13:55:00,bologna,dallas-fort worth,stati uniti,8,1,1,0,,m,61+,singola tratta,british airways,ba0542,in attesa,,
alb,bgy,stn,2024-02-03 13:45:00,bergamo,londra,regno unito,2,1,1,0,,m,31-45,singola tratta,ryanair dac,fr4192,fermato,,
alb,bgy,tia,2024-02-03 06:10:00,bergamo,tirana,albania,2,121,121,4,permesso di soggiorno,,31-45,singola tratta,wizz air malta,w43845,segnalato,,
alb,bgy,tia,2024-01-23 10:15:00,bergamo,tirana,albania,2,130,130,20,carta d'identità,m,0-17,singola tratta,ryanair dac,fr8350,segnalato,,
alb,mxp,kut,2024-02-10 16:20:00,milano,kutaisi,georgia,2,1,1,0,,f,0-17,singola tratta,wizz air hungary,w66411,,,
alb,tsf,tia,2024-02-05 11:50:00,treviso,tirana,albania,4,66,66,12,,m,18-30,singola tratta,wizz air malta,w44809,ok,,
alb,nap,tia,2024-02-24 12:10:00,napoli,tirana,albania,6,72,72,7,visto,f,0-17,singola tratta,wizz air malta,w44825,respinto,,
alb,fco,tia,2024-02-17 00:00:00,roma,tirana,albania,5,90,90,91,permesso di soggiorno,m,61+,singola tratta,wizz air malta,w46116,respinto,,
alb,bri,tia,2024-01-07 20:55:00,bari,tirana,albania,9,36,36,4,,m,18-30,singola tratta,wizz air malta,w46647,,,
alb,tsf,tia,2024-02-29 06:50:00,treviso,tirana,albania,4,62,62,7,passaporto,f,46-60,singola tratta,wizz air malta,w43851,ok,,
alb,fco,lgw,2024-02-21 06:45:00,roma,londra,regno unito,5,1,4,0,carta d'identità,f,18-30,singola tratta,easyjet,u28323,ok,,
alb,flr,tia,2024-02-04 00:00:00,firenze,tirana,albania,8,1,0,0,carta d'identità,f,0-17,singola tratta,ita airways,az0585,segnalato,,
alb,bgy,tia,2024-02-25 12:10:00,bergamo,tirana,albania,2,83,83,85,,f,46-60,singola tratta,wizz air malta,w43885,in attesa,,
afg,blq,saw,2024-02-12 11:30:00,bologna,istanbul,turchia,8,1,1,1,passaporto,m,31-45,singola tratta,pegasus airlines,pc1217,,,
alb,mxp,ssh,2024-02-15 15:55:00,milano,sharm el sheikh,egitto,2,1,1,0,permesso di soggiorno,m,0-17,singola tratta,neos s.p.a.,no4759,segnalato,,
alb,mxp,jfk,2024-02-22 17:00:00,milano,new york,stati uniti,2,2,2,0,passaporto,m,0-17,singola tratta,neos s.p.a.,no0789,respinto,,
alb,mxp,tgd,2024-01-23 16:45:00,milano,podgorica,montenegro,2,20,20,4,permesso di soggiorno,f,31-45,singola tratta,wizz air malta,w44901,segnalato,,
alb,bgy,stn,2024-02-17 12:00:00,bergamo,londra,regno unito,2,1,1,1,passaporto,f,,singola tratta,ryanair dac,fr2738,fermato,,
alb,mxp,mia,2024-01-10 18:15:00,milano,miami,stati uniti,2,1,1,0,permesso di soggiorno,,61+,singola tratta,american airlines,aa0198,segnalato,,
afg,fco,ist,2024-01-08 21:10:00,roma,istanbul,turchia,5,2,2,0,permesso di soggiorno,m,18-30,singola tratta,turkish airlines,tk1361,respinto,,
alb,vrn,tia,2024-01-31 21:15:00,verona,tirana,albania,4,99,99,16,carta d'identità,f,46-60,singola tratta,wizz air malta,w43849,segnalato,,
alb,mxp,ist,2024-01-21 15:50:00,milano,istanbul,turchia,2,2,2,0,permesso di soggiorno,,61+,singola tratta,turkish airlines,tk1875,,,
alb,bgy,tia,2024-01-04 12:30:00,bergamo,tirana,albania,2,79,79,24,permesso di soggiorno,f,46-60,singola tratta,albawings,2b0233,fermato,,
alb,psa,tia,2024-01-04 16:15:00,pisa,tirana,albania,8,107,107,26,,m,,singola tratta,wizz air malta,w46649,ok,,
alb,fco,lgw,2024-02-25 07:30:00,roma,londra,regno unito,5,2,2,0,visto,m,46-60,singola tratta,easyjet,u26506,respinto,,
alb,vce,brs,2024-01-29 11:40:00,venezia,bristol,regno unito,4,1,1,1,,f,18-30,singola tratta,ryanair dac,fr1361,ok,,
alb,bgy,stn,2024-02-02 13:55:00,bergamo,londra,regno unito,2,2,2,0,carta d'identità,f,46-60,singola tratta,ryanair dac,fr3674,respinto,,
alb,vce,brs,2024-02-26 11:40:00,venezia,bristol,regno unito,4,1,1,1,carta d'identità,m,18-30,singola tratta,ryanair dac,fr1361,ok,,
alb,trn,bhx,2024-02-19 18:15:00,torino,birmingham,regno unito,1,1,4,0,passaporto,,0-17,singola tratta,ryanair dac,fr9806,in attesa,,
alb,psa,tia,2024-01-12 20:50:00,pisa,tirana,albania,8,138,138,16,visto,m,0-17,singola tratta,ryanair dac,fr8391,,,
alb,mxp,syr,2024-02-09 20:00:00,milano,syracuse,stati uniti,2,1,1,0,passaporto,f,0-17,singola tratta,delta air lines,dl0184,ok,,
afg,mxp,stn,2024-02-05 08:15:00,milano,londra,regno unito,2,1,1,1,carta d'identità,f,18-30,singola tratta,ryanair dac,fr2759,,,
alb,mxp,tia,2024-01-14 06:20:00,milano,tirana,albania,2,122,122,17,,f,18-30,singola tratta,wizz air malta,w46607,,,
alb,lin,tia,2024-01-09 05:35:00,milano,tirana,albania,2,1,0,0,permesso di soggiorno,f,61+,singola tratta,ita airways,az0507,fermato,,
alb,mxp,stn,2024-01-28 11:40:00,milano,londra,regno unito,2,2,2,0,permesso di soggiorno,,31-45,singola tratta,ryanair dac,fr2757,segnalato,,
alb,fco,mru,2024-01-24 11:05:00,roma,plaisance,mauritius,5,1,1,0,,f,0-17,singola tratta,neos s.p.a.,no0289,fermato,,
alb,blq,stn,2024-02-15 12:05:00,bologna,londra,regno unito,8,3,3,0,carta d'identità,f,,singola tratta,ryanair dac,fr0194,segnalato,,
alb,tsf,tia,2024-01-08 09:00:00,treviso,tirana,albania,4,81,81,83,carta d'identità,m,0-17,singola tratta,ryanair dac,fr8400,segnalato,,
alb,aoi,tia,2024-02-21 11:20:00,ancona,tirana,albania,8,84,84,16,,f,31-45,singola tratta,wizz air malta,w43855,fermato,,
alb,bgy,amm,2024-01-30 21:00:00,bergamo,amman,giordania,2,1,1,0,permesso di soggiorno,m,31-45,singola tratta,ryanair dac,fr3155,ok,,
,fco,ruh,2024-02-29 09:15:00,roma,riyadh,arabia saudita,5,1,1,1,carta d'identità,m,0-17,singola tratta,turkish airlines,tk1861,segnalato,,
afg,fco,ika,2024-01-11 06:00:00,roma,tehran,iran,5,28,28,1,carta d'identità,m,31-45,singola tratta,iran air,ir0739,ok,,
alb,mxp,hkt,2024-02-09 18:15:00,milano,phuket,thailandia,2,3,3,1,,m,18-30,singola tratta,oman air,wy0143,ok,,
,cia,tia,2024-02-17 00:00:00,roma,tirana,albania,5,97,97,8,passaporto,m,18-30,singola tratta,ryanair dac,fr8360,in attesa,,
alb,bgy,tia,2024-01-07 06:10:00,bergamo,tirana,albania,2,115,115,22,passaporto,f,0-17,singola tratta,wizz air malta,w43845,ok,,
alb,bgy,brs,2024-02-15 16:55:00,bergamo,bristol,regno unito,2,2,2,0,permesso di soggiorno,f,61+,singola tratta,ryanair dac,fr3560,fermato,,
alb,fco,lgw,2024-01-22 09:45:00,roma,londra,regno unito,5,1,1,0,,,31-45,singola tratta,wizz air malta,w45781,ok,,
alb,psa,tia,2024-01-11 13:20:00,pisa,tirana,albania,8,126,126,25,visto,,,singola tratta,wizz air malta,w46679,,,
alb,aoi,stn,2024-01-26 18:25:00,ancona,londra,regno unito,8,1,1,0,visto,f,0-17,singola tratta,ryanair dac,fr0124,,,
alb,trn,tia,2024-02-10 06:55:00,torino,tirana,albania,1,136,136,14,carta d'identità,m,61+,singola tratta,wizz air malta,w46603,,,
alb,tsf,tia,2024-02-15 15:30:00,treviso,tirana,albania,4,78,78,11,passaporto,m,18-30,singola tratta,wizz air malta,w44809,ok,,
alb,fco,saw,2024-01-13 10:40:00,roma,istanbul,turchia,5,1,1,0,,m,61+,singola tratta,pegasus airlines,pc1223,,,
alb,nap,ist,2024-02-22 08:00:00,napoli,istanbul,turchia,6,1,1,1,,f,18-30,singola tratta,turkish airlines,tk1453,segnalato,,
and,fco,saw,2024-02-05 15:35:00,roma,istanbul,turchia,5,2,2,0,passaporto,m,31-45,singola tratta,pegasus airlines,pc1225,ok,,
alb,blq,tia,2024-01-21 16:55:00,bologna,tirana,albania,8,1,2,0,carta d'identità,m,46-60,singola tratta,ita airways,az0585,respinto,,
alb,goa,tia,2024-01-08 11:15:00,genova,tirana,albania,1,131,134,26,visto,f,31-45,singola tratta,wizz air malta,w46637,segnalato,,
alb,bgy,tia,2024-01-08 17:10:00,bergamo,tirana,albania,2,115,115,19,visto,f,46-60,singola tratta,ryanair dac,fr8356,,,
alb,mxp,tia,2024-01-04 18:35:00,milano,tirana,albania,2,92,92,18,passaporto,m,46-60,singola tratta,wizz air malta,w46629,segnalato,,
alb,psa,tia,2024-01-17 15:15:00,pisa,tirana,albania,8,105,105,16,permesso di soggiorno,f,46-60,singola tratta,wizz air malta,w46649,respinto,,
,bgy,tia,2024-01-15 17:10:00,bergamo,tirana,albania,2,90,90,19,permesso di soggiorno,m,61+,singola tratta,ryanair dac,fr8356,,,
alb,cia,lpl,2024-01-27 06:00:00,roma,liverpool,regno unito,5,1,1,0,permesso di soggiorno,f,61+,singola tratta,ryanair dac,fr1935,ok,,
alb,lin,jfk,2024-01-17 21:00:00,milano,new york,stati uniti,2,2,2,0,carta d'identità,m,0-17,singola tratta,ita airways,az0611,respinto,,
alb,psa,stn,2024-01-26 00:00:00,pisa,londra,regno unito,8,2,2,0,,f,,singola tratta,ryanair dac,fr0584,fermato,,
alb,rmi,tia,2024-02-15 10:25:00,rimini,tirana,albania,8,98,98,11,visto,f,18-30,singola tratta,wizz air malta,w43875,segnalato,,
alb,bgy,tia,2024-02-26 15:15:00,bergamo,tirana,albania,2,87,89,14,,m,46-60,singola tratta,wizz air malta,w43869,ok,,
alb,fco,mia,2024-02-18 19:50:00,roma,miami,stati uniti,5,1,1,0,visto,f,46-60,singola tratta,ita airways,az0631,,,
alb,mxp,tia,2024-02-02 12:50:00,milano,tirana,albania,2,66,66,10,permesso di soggiorno,f,0-17,singola tratta,air albania,zb2003,segnalato,,
alb,fco,tia,2024-02-25 16:55:00,roma,tirana,albania,5,25,25,6,carta d'identità,m,46-60,singola tratta,ita airways,az0585,in attesa,,
alb,rmi,tia,2024-01-02 10:30:00,rimini,tirana,albania,8,95,95,17,permesso di soggiorno,f,31-45,singola tratta,wizz air malta,w43875,respinto,,
alb,bgy,stn,2024-02-12 06:45:00,bergamo,londra,regno unito,2,5,5,1,,m,0-17,singola tratta,ryanair dac,fr4189,ok,,
alb,trn,lgw,2024-02-16 14:50:00,torino,londra,regno unito,1,1,1,0,,f,0-17,singola tratta,easyjet,u28359,ok,,
alb,blq,tia,2024-01-29 21:25:00,bologna,tirana,albania,8,,,,,m,18-30,singola tratta,wizz air malta,w43847,in attesa,,
alb,fco,mru,2024-01-05 08:55:00,roma,plaisance,mauritius,5,1,1,0,,m,0-17,singola tratta,emirates,ek0097,,,
,fco,tia,2024-01-13 06:10:00,roma,tirana,albania,5,99,99,5,,m,31-45,singola tratta,wizz air malta,w43857,fermato,,
,aoi,tia,2024-02-05 14:00:00,ancona,tirana,albania,8,82,82,12,,f,18-30,singola tratta,wizz air malta,w43855,in attesa,,
alb,mxp,lgw,2024-01-15 10:00:00,milano,londra,regno unito,2,1,1,0,passaporto,f,18-30,singola tratta,wizz air malta,w45785,in attesa,,
alb,mxp,bos,2024-01-03 00:00:00,milano,boston,stati uniti,2,1,1,0,carta d'identità,m,18-30,singola tratta,air canada,ac0894,segnalato,,
alb,vce,jed,2024-01-17 17:40:00,venezia,jeddah,arabia saudita,4,3,3,0,passaporto,f,18-30,singola tratta,wizz air malta,w45476,fermato,,
alb,mxp,prn,2024-01-16 21:10:00,milano,pristina,cossovo,2,1,1,0,,,46-60,singola tratta,wizz air malta,w45554,,,
alb,bgy,saw,2024-01-25 11:10:00,bergamo,istanbul,turchia,2,1,1,1,passaporto,,31-45,singola tratta,turkish airlines,tk7794,fermato,,
alb,vce,ist,2024-02-11 18:00:00,venezia,istanbul,turchia,4,2,2,3,passaporto,m,31-45,singola tratta,turkish airlines,tk1869,,,r2
