OCCORRENZE,AREOPORTO_ARRIVO,AREOPORTO_PARTENZA,DATA_PARTENZA,CITTA_ARR_allarmi,CITTA_PARTENZA_allarmi,PAESE_PART_allarmi,ZONA_allarmi,TOT,MOTIVO_ALLARME,note_operatore_allarmi,flag_rischio,NAZIONALITA,CITTA_ARR_tip,CITTA_PARTENZA_tip,PAESE_PART_tip,ZONA_tip,ENTRATI,INVESTIGATI,ALLARMATI,TIPO_DOCUMENTO,GENERE,FASCIA_ETA,FLAG_TRANSITO,COMPAGNIA_AEREA,NUMERO_VOLO,ESITO_CONTROLLO,note_operatore_tip,codice_rischio
viaggiatori entrati,fco,lgw,2024-02-05 09:45:00,roma,londra,regno unito,5.0,180.0,interpol,,,,,,,,,,,,,,,,,,,
allarmi chiusi,bgy,saw,2024-02-05 10:35:00,bergamo,istanbul,turchia,2.0,7.0,,,,afg,bergamo,istanbul,turchia,2.0,3.0,3.0,3.0,carta d'identità,m,18-30,singola tratta,pegasus airlines,pc1211,fermato,,
voli con allarmi,lin,lgw,2024-02-05 10:35:00,milano,londra,regno unito,2.0,1.0,,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,fco,tun,2024-02-05 11:25:00,roma,tunis,tunisia,5.0,134.0,nsis,,,,,,,,,,,,,,,,,,,
allarmi generati,blq,saw,2024-02-05 11:30:00,bologna,istanbul,turchia,8.0,14.0,nsis,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,tsf,tia,2024-02-05 11:50:00,treviso,tirana,albania,4.0,151.0,interpol,,,alb,treviso,tirana,albania,4.0,66.0,66.0,12.0,,m,18-30,singola tratta,wizz air malta,w44809,ok,,
voli investigati,mxp,spx,2024-02-05 12:05:00,milano,giza,egitto,2.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
voli disponibili,cia,tia,2024-02-05 12:15:00,roma,tirana,albania,5.0,1.0,interpol,alert manuale,,alb,roma,tirana,albania,5.0,67.0,67.0,4.0,passaporto,m,46-60,singola tratta,ryanair dac,fr8320,in attesa,verifica richiesta,
viaggiatori investigati,lin,lcy,2024-02-05 12:35:00,milano,londra,regno unito,2.0,16.0,manuale,,,,,,,,,,,,,,,,,,,
voli investigati,lin,lhr,2024-02-05 12:40:00,milano,londra,regno unito,2.0,2.0,tsc,,,,,,,,,,,,,,,,,,,
voli investigati,bri,stn,2024-02-05 12:50:00,bari,londra,regno unito,9.0,1.0,sdi,,,,,,,,,,,,,,,,,,,
allarmi generati,cta,tia,2024-02-05 12:55:00,catania,tirana,albania,7.0,8.0,manuale,,,alb,catania,tirana,albania,7.0,25.0,28.0,4.0,,f,0-17,singola tratta,wizz air malta,w46605,segnalato,,
viaggiatori investigati,cta,tia,2024-02-05 12:55:00,catania,tirana,albania,7.0,85.0,sdi,,,alb,catania,tirana,albania,7.0,25.0,28.0,4.0,,f,0-17,singola tratta,wizz air malta,w46605,segnalato,,
voli investigati,blq,ist,2024-02-05 13:00:00,bologna,istanbul,turchia,8.0,1.0,,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,bgy,lgw,2024-02-05 13:00:00,bergamo,londra,regno unito,2.0,37.0,manuale,,,alb,bergamo,londra,regno unito,2.0,1.0,1.0,0.0,,m,61+,singola tratta,easyjet,u28291,respinto,,
voli investigati,fco,cmn,2024-02-05 13:00:00,roma,casablanca,marocco,5.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,cia,beg,2024-02-05 13:06:00,roma,belgrado,serbia,5.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
voli disponibili,fco,mle,2024-02-05 13:25:00,roma,male,maldive,5.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
voli con allarmi,fco,mle,2024-02-05 13:25:00,roma,male,maldive,5.0,1.0,,,,,,,,,,,,,,,,,,,,
allarmi rilevanti,vce,lhr,2024-02-05 13:40:00,venezia,londra,regno unito,4.0,1.0,interpol,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,mxp,auh,2024-02-05 14:45:00,milano,abu dhabi,emirati arabi uniti,2.0,289.0,nsis,,,alb,milano,abu dhabi,emirati arabi uniti,2.0,1.0,1.0,0.0,permesso di soggiorno,f,,singola tratta,etihad airways,ey0079,,,
viaggiatori con allarmi,mxp,cgo,2024-02-05 14:50:00,milano,zhengzhou,cina,2.0,18.0,,,,,,,,,,,,,,,,,,,,
voli investigati,fco,man,2024-02-05 14:55:00,roma,manchester,regno unito,5.0,1.0,sdi,,,alb,roma,manchester,regno unito,5.0,1.0,1.0,0.0,visto,m,0-17,singola tratta,jet2.com,ls1785,in attesa,,
viaggiatori entrati,bgy,stn,2024-02-05 15:25:00,bergamo,londra,regno unito,2.0,185.0,tsc,,,,,,,,,,,,,,,,,,,
voli con allarmi,mxp,doh,2024-02-05 15:30:00,milano,doha,qatar,2.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
allarmi chiusi,fco,doh,2024-02-05 15:35:00,roma,doha,qatar,5.0,10.0,nsis,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,fco,saw,2024-02-05 15:35:00,roma,istanbul,turchia,5.0,1.0,interpol,,,and,roma,istanbul,turchia,5.0,2.0,2.0,0.0,passaporto,m,31-45,singola tratta,pegasus airlines,pc1225,ok,,
voli con allarmi,fco,saw,2024-02-05 15:35:00,roma,istanbul,turchia,5.0,1.0,,,,and,roma,istanbul,turchia,5.0,2.0,2.0,0.0,passaporto,m,31-45,singola tratta,pegasus airlines,pc1225,ok,,
esito negativo,bgy,cai,2024-02-05 15:40:00,bergamo,cairo,egitto,2.0,50.0,tsc,,,,,,,,,,,,,,,,,,,
voli investigati,psa,tia,2024-02-05 16:45:00,pisa,tirana,albania,8.0,1.0,tsc,,,alb,pisa,tirana,albania,8.0,116.0,116.0,18.0,carta d'identità,m,0-17,singola tratta,wizz air malta,w46649,ok,,
voli con allarmi,fco,ewr,2024-02-05 17:40:00,roma,newark,stati uniti,5.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,fco,ist,2024-02-05 17:55:00,roma,istanbul,turchia,5.0,142.0,manuale,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,nap,ist,2024-02-05 17:55:00,napoli,istanbul,turchia,6.0,,,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,fco,jfk,2024-02-05 18:00:00,roma,new york,stati uniti,5.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,fco,alg,2024-02-05 18:00:00,roma,algeri,algeria,5.0,48.0,,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,vce,ist,2024-02-05 18:00:00,venezia,istanbul,turchia,4.0,125.0,tsc,,,,,,,,,,,,,,,,,,,
allarmi generati,nap,lgw,2024-02-05 18:40:00,napoli,londra,regno unito,6.0,14.0,nsis,doppio controllo,,,,,,,,,,,,,,,,,,
voli investigati,blq,tia,2024-02-05 19:25:00,bologna,tirana,albania,8.0,1.0,nsis,,,alb,bologna,tirana,albania,8.0,112.0,112.0,31.0,permesso di soggiorno,,,singola tratta,ryanair dac,fr8399,,,
allarmi generati,blq,tia,2024-02-05 19:25:00,bologna,tirana,albania,8.0,39.0,interpol,,,alb,bologna,tirana,albania,8.0,112.0,112.0,31.0,permesso di soggiorno,,,singola tratta,ryanair dac,fr8399,,,
voli solo visualizzati,mxp,jed,2024-02-05 19:30:00,milano,jeddah,arabia saudita,2.0,1.0,,,,,,,,,,,,,,,,,,,,
voli disponibili,mxp,jed,2024-02-05 19:30:00,milano,jeddah,arabia saudita,2.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
voli investigati,fco,jed,2024-02-05 19:35:00,roma,jeddah,arabia saudita,5.0,1.0,interpol,,,,,,,,,,,,,,,,,,,
voli con allarmi,mxp,skp,2024-02-05 19:40:00,milano,skopie,macedonia,2.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,cia,tia,2024-02-05 19:45:00,roma,tirana,albania,5.0,12.0,,,,alb,roma,tirana,albania,5.0,48.0,48.0,7.0,visto,m,18-30,singola tratta,ryanair dac,fr8360,ok,,
allarmi chiusi,bgy,tng,2024-02-05 20:50:00,bergamo,tangier,marocco,2.0,27.0,interpol,,,,,,,,,,,,,,,,,,,
voli investigati,bgy,rak,2024-02-05 21:05:00,bergamo,marrakech,marocco,2.0,1.0,,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,mxp,sin,2024-02-05 23:45:00,milano,singapore,singapore,2.0,212.0,sdi,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,mxp,dss,2024-02-06 00:00:00,milano,dakar,senegal,2.0,46.0,,,,,,,,,,,,,,,,,,,,
voli investigati,goa,stn,2024-02-06 00:00:00,genova,londra,regno unito,1.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
allarmi chiusi,fco,eze,2024-02-06 00:00:00,roma,buenos aires,argentina,5.0,,,,,,,,,,,,,,,,,,,,,
voli con allarmi,blq,stn,2024-02-06 00:00:00,bologna,londra,regno unito,8.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,mxp,pek,2024-02-06 01:35:00,milano,pechino,cina,2.0,240.0,interpol,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,mxp,bah,2024-02-06 01:40:00,milano,manama,bahrain,2.0,35.0,tsc,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,fco,tfu,2024-02-06 01:45:00,roma,chengdu,cina,5.0,1.0,interpol,,,,,,,,,,,,,,,,,,,
allarmi chiusi,mxp,pvg,2024-02-06 01:45:00,milano,shanghai,cina,2.0,4.0,manuale,,,,,,,,,,,,,,,,,,,
allarmi rilevanti,fco,cun,2024-02-06 02:05:00,roma,cancun,messico,5.0,2.0,sdi,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,fco,beg,2024-02-06 06:10:00,roma,belgrado,serbia,5.0,159.0,,,,,,,,,,,,,,,,,,,,
allarmi rilevanti,mxp,tia,2024-02-06 06:20:00,milano,tirana,albania,2.0,1.0,,,,alb,milano,tirana,albania,2.0,100.0,100.0,11.0,visto,f,18-30,singola tratta,wizz air malta,w46607,fermato,,
voli investigati,mxp,tlv,2024-02-06 06:50:00,milano,tel aviv yafo,israele,2.0,,sdi,,,,,,,,,,,,,,,,,,,
allarmi generati,bgy,cmn,2024-02-06 07:00:00,bergamo,casablanca,marocco,2.0,36.0,,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,cta,lgw,2024-02-06 07:30:00,catania,londra,regno unito,7.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
allarmi generati,bgy,stn,2024-02-06 07:30:00,bergamo,londra,regno unito,2.0,3.0,nsis,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,blq,stn,2024-02-06 08:00:00,bologna,londra,regno unito,8.0,134.0,manuale,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,vce,ist,2024-02-06 08:10:00,venezia,istanbul,turchia,4.0,1.0,,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,trn,lgw,2024-02-06 08:15:00,torino,londra,regno unito,1.0,140.0,sdi,,,,,,,,,,,,,,,,,,,
esito negativo,cia,tia,2024-02-06 08:25:00,roma,tirana,albania,5.0,8.0,interpol,,,alb,roma,tirana,albania,5.0,85.0,85.0,7.0,permesso di soggiorno,f,31-45,singola tratta,ryanair dac,fr8360,fermato,,
voli disponibili,lin,lcy,2024-02-06 08:30:00,milano,londra,regno unito,2.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
voli con allarmi,psa,cmn,2024-02-06 08:50:00,pisa,casablanca,marocco,8.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,mxp,doh,2024-02-06 08:55:00,milano,doha,qatar,2.0,17.0,nsis,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,mxp,lgw,2024-02-06 09:00:00,milano,londra,regno unito,2.0,127.0,nsis,,,,,,,,,,,,,,,,,,,
voli disponibili,fco,doh,2024-02-06 09:15:00,roma,doha,qatar,5.0,,tsc,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,fco,lhr,2024-02-06 09:20:00,roma,londra,regno unito,5.0,148.0,nsis,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,blq,ist,2024-02-06 09:25:00,bologna,istanbul,turchia,8.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
voli con allarmi,mxp,cai,2024-02-06 09:35:00,milano,cairo,egitto,2.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
allarmi generati,bgy,stn,2024-02-06 10:10:00,bergamo,londra,regno unito,2.0,3.0,,,,alb,bergamo,londra,regno unito,2.0,1.0,1.0,0.0,,f,0-17,singola tratta,ryanair dac,fr2738,respinto,,
voli investigati,bgy,tia,2024-02-06 10:15:00,bergamo,tirana,albania,2.0,1.0,manuale,,,alb,bergamo,tirana,albania,2.0,,,,permesso di soggiorno,f,,singola tratta,ryanair dac,fr8350,segnalato,,
allarmi chiusi,bgy,tia,2024-02-06 10:15:00,bergamo,tirana,albania,2.0,33.0,nsis,,,alb,bergamo,tirana,albania,2.0,,,,permesso di soggiorno,f,,singola tratta,ryanair dac,fr8350,segnalato,,
allarmi rilevanti,fco,alg,2024-02-06 10:30:00,roma,algeri,algeria,5.0,1.0,tsc,alert manuale,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,bgy,saw,2024-02-06 11:10:00,bergamo,istanbul,turchia,2.0,8.0,sdi,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,bgy,saw,2024-02-06 11:10:00,bergamo,istanbul,turchia,2.0,119.0,manuale,,,,,,,,,,,,,,,,,,,
allarmi generati,psr,tia,2024-02-06 11:15:00,pescara,tirana,albania,9.0,12.0,manuale,,,alb,pescara,tirana,albania,9.0,70.0,70.0,5.0,,f,46-60,singola tratta,wizz air malta,w43863,fermato,,
voli disponibili,psr,tia,2024-02-06 11:15:00,pescara,tirana,albania,9.0,1.0,tsc,,,alb,pescara,tirana,albania,9.0,70.0,70.0,5.0,,f,46-60,singola tratta,wizz air malta,w43863,fermato,,
voli disponibili,mxp,nkg,2024-02-06 12:00:00,milano,nanjing,cina,2.0,1.0,interpol,,,,,,,,,,,,,,,,,,,
voli investigati,nap,hrg,2024-02-06 12:05:00,napoli,hurghada,egitto,6.0,1.0,,,,,,,,,,,,,,,,,,,,
voli con allarmi,mxp,wnz,2024-02-06 12:40:00,milano,wenzhou,cina,2.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,vce,cmn,2024-02-06 12:55:00,venezia,casablanca,marocco,4.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,vce,cmn,2024-02-06 12:55:00,venezia,casablanca,marocco,4.0,155.0,tsc,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,vce,skp,2024-02-06 12:55:00,venezia,skopje,macedonia,4.0,15.0,manuale,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,psa,lgw,2024-02-06 13:30:00,pisa,londra,regno unito,8.0,143.0,nsis,,,alb,pisa,londra,regno unito,8.0,1.0,1.0,0.0,,f,18-30,singola tratta,easyjet,u28317,respinto,,
voli disponibili,mxp,cai,2024-02-06 13:30:00,milano,cairo,egitto,2.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
allarmi chiusi,mxp,lhr,2024-02-06 13:35:00,milano,londra,regno unito,2.0,1.0,,,,,,,,,,,,,,,,,,,,
allarmi generati,fco,icn,2024-02-06 14:05:00,roma,seoul,corea del sud,5.0,2.0,tsc,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,mxp,ltn,2024-02-06 15:12:00,milano,londra,regno unito,2.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,fco,tia,2024-02-06 15:25:00,roma,tirana,albania,5.0,83.0,interpol,,,alb,roma,tirana,albania,5.0,37.0,37.0,9.0,passaporto,f,,singola tratta,wizz air malta,w46691,,,
esito negativo,fco,gig,2024-02-06 15:45:00,roma,rio de janeiro,brasile,5.0,5.0,nsis,,,,,,,,,,,,,,,,,,,
voli con allarmi,mxp,ist,2024-02-06 15:50:00,milano,istanbul,turchia,2.0,1.0,,,,,,,,,,,,,,,,,,,,
voli disponibili,fco,lhr,2024-02-06 15:50:00,roma,londra,regno unito,5.0,1.0,,,,,,,,,,,,,,,,,,,,
allarmi generati,mxp,ist,2024-02-06 15:50:00,milano,istanbul,turchia,2.0,19.0,,,,,,,,,,,,,,,,,,,,
allarmi generati,peg,tia,2024-02-06 16:00:00,perugia,tirana,albania,5.0,27.0,manuale,,,alb,perugia,tirana,albania,5.0,125.0,125.0,18.0,permesso di soggiorno,m,18-30,singola tratta,wizz air malta,w44811,segnalato,,
allarmi generati,vce,lhr,2024-02-06 17:10:00,venezia,londra,regno unito,4.0,4.0,tsc,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,mxp,ltn,2024-02-06 17:30:00,milano,londra,regno unito,2.0,111.0,nsis,,,alb,milano,londra,regno unito,2.0,1.0,1.0,0.0,,m,18-30,singola tratta,easyjet,u22485,ok,,
allarmi generati,fco,ewr,2024-02-06 17:40:00,roma,newark,stati uniti,5.0,4.0,nsis,,,,,,,,,,,,,,,,,,,
esito negativo,fco,auh,2024-02-06 17:45:00,roma,abu dhabi,emirati arabi uniti,5.0,9.0,,,,,,,,,,,,,,,,,,,,
voli con allarmi,cia,ema,2024-02-06 17:50:00,roma,derby,regno unito,5.0,1.0,interpol,,,,,,,,,,,,,,,,,,,
voli disponibili,fco,cai,2024-02-06 17:55:00,roma,cairo,egitto,5.0,1.0,,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,bgy,ncl,2024-02-06 18:05:00,bergamo,newcastle,regno unito,2.0,3.0,tsc,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,lin,lhr,2024-02-06 18:30:00,milano,londra,regno unito,2.0,7.0,nsis,,,alb,milano,londra,regno unito,2.0,1.0,1.0,0.0,permesso di soggiorno,m,61+,singola tratta,british airways,ba0570,respinto,,
esito negativo,nap,stn,2024-02-06 19:05:00,napoli,londra,regno unito,6.0,9.0,,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,mxp,ssh,2024-02-06 19:20:00,milano,sharm el sheikh,egitto,2.0,8.0,tsc,,,,,,,,,,,,,,,,,,,
voli disponibili,nap,ssh,2024-02-06 19:25:00,napoli,sharm el sheikh,egitto,6.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
allarmi generati,fco,jfk,2024-02-06 19:45:00,roma,new york,stati uniti,5.0,3.0,nsis,,,,,,,,,,,,,,,,,,,
allarmi generati,mxp,tia,2024-02-06 20:15:00,milano,tirana,albania,2.0,8.0,interpol,,,alb,milano,tirana,albania,2.0,48.0,48.0,6.0,,m,0-17,singola tratta,wizz air malta,w46629,segnalato,,
voli solo visualizzati,fco,atl,2024-02-06 20:15:00,roma,atlanta,stati uniti,5.0,1.0,interpol,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,bgy,stn,2024-02-06 20:45:00,bergamo,londra,regno unito,2.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
voli disponibili,bgy,stn,2024-02-06 20:45:00,bergamo,londra,regno unito,2.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
voli con allarmi,mxp,prn,2024-02-06 21:10:00,milano,pristina,cossovo,2.0,1.0,tsc,verifica richiesta,,alb,milano,pristina,cossovo,2.0,5.0,5.0,2.0,permesso di soggiorno,f,31-45,singola tratta,wizz air malta,w45554,,,
voli investigati,fco,lgw,2024-02-06 21:15:00,roma,londra,regno unito,5.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,mxp,ewr,2024-02-06 21:50:00,milano,newark,stati uniti,2.0,14.0,tsc,,,,,,,,,,,,,,,,,,,
allarmi generati,mxp,stn,2024-02-06 21:50:00,milano,londra,regno unito,2.0,,nsis,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,fco,eze,2024-02-06 22:40:00,roma,buenos aires,argentina,5.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
mancato aggiornamento,mxp,tpe,2024-02-06 23:05:00,milano,taipei,taiwan,2.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
voli disponibili,lin,ltn,2024-02-07 00:00:00,milano,londra,regno unito,2.0,1.0,interpol,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,bgy,rak,2024-02-07 00:00:00,bergamo,marrakech,marocco,2.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,cia,ruh,2024-02-07 00:00:00,roma,riyadh,arabia saudita,5.0,,nsis,,,,,,,,,,,,,,,,,,,
voli con allarmi,blq,tia,2024-02-07 00:00:00,bologna,tirana,albania,8.0,1.0,sdi,,,alb,bologna,tirana,albania,8.0,59.0,59.0,14.0,visto,f,18-30,singola tratta,wizz air malta,w43877,segnalato,,
viaggiatori entrati,fco,add,2024-02-07 00:05:00,roma,addis ababa,etiopia,5.0,284.0,interpol,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,fco,hgh,2024-02-07 00:55:00,roma,hangzhou,cina,5.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
voli investigati,fco,bah,2024-02-07 01:40:00,roma,manama,bahrain,5.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,fco,doh,2024-02-07 02:30:00,roma,doha,qatar,5.0,1.0,interpol,,,,,,,,,,,,,,,,,,,
allarmi generati,bgy,rak,2024-02-07 06:10:00,bergamo,marrakech,marocco,2.0,33.0,tsc,,,,,,,,,,,,,,,,,,,
voli investigati,mxp,tia,2024-02-07 06:20:00,milano,tirana,albania,2.0,1.0,sdi,,,,milano,tirana,albania,2.0,75.0,76.0,5.0,passaporto,m,61+,singola tratta,wizz air malta,w46607,respinto,,
voli solo visualizzati,fco,lgw,2024-02-07 06:45:00,roma,londra,regno unito,5.0,,,alert manuale,,,,,,,,,,,,,,,,,,
viaggiatori investigati,nap,lgw,2024-02-07 07:10:00,napoli,londra,regno unito,6.0,175.0,nsis,,,,,,,,,,,,,,,,,,,
allarmi rilevanti,trn,tia,2024-02-07 07:10:00,torino,tirana,albania,1.0,1.0,interpol,,,alb,torino,tirana,albania,1.0,88.0,88.0,23.0,permesso di soggiorno,f,61+,singola tratta,wizz air malta,w46603,in attesa,,
viaggiatori investigati,bgy,shj,2024-02-07 07:15:00,bergamo,sharjah,emirati arabi uniti,2.0,148.0,interpol,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,mxp,gyd,2024-02-07 07:30:00,milano,baku,azerbaigian,2.0,1.0,,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,nap,dxb,2024-02-07 07:30:00,napoli,dubai,emirati arabi uniti,6.0,102.0,nsis,,,,,,,,,,,,,,,,,,,
allarmi chiusi,cta,dxb,2024-02-07 07:35:00,catania,dubai,emirati arabi,7.0,9.0,tsc,,,,,,,,,,,,,,,,,,,
allarmi generati,cta,ist,2024-02-07 07:55:00,catania,istanbul,turchia,7.0,16.0,nsis,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,cta,ist,2024-02-07 07:55:00,catania,istanbul,turchia,7.0,1.0,interpol,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,nap,ist,2024-02-07 08:00:00,napoli,istanbul,turchia,6.0,121.0,sdi,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,cia,stn,2024-02-07 08:05:00,roma,londra,regno unito,5.0,141.0,,,,,,,,,,,,,,,,,,,,
voli investigati,lin,lcy,2024-02-07 08:30:00,milano,londra,regno unito,2.0,1.0,,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,flr,lcy,2024-02-07 08:45:00,firenze,londra,regno unito,8.0,1.0,sdi,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,blq,dxb,2024-02-07 08:55:00,bologna,dubai,emirati arabi uniti,8.0,40.0,,,,alb,bologna,dubai,emirati arabi uniti,8.0,1.0,1.0,0.0,carta d'identità,f,46-60,singola tratta,emirates,ek0093,ok,,
viaggiatori con allarmi,fco,ist,2024-02-07 09:15:00,roma,istanbul,turchia,5.0,8.0,,,,afg,roma,istanbul,turchia,5.0,1.0,1.0,1.0,carta d'identità,,61+,singola tratta,turkish airlines,tk1861,in attesa,,
viaggiatori investigati,trn,stn,2024-02-07 09:25:00,torino,londra,regno unito,1.0,173.0,interpol,,,alb,torino,londra,regno unito,1.0,1.0,1.0,0.0,visto,f,31-45,singola tratta,ryanair dac,fr0464,respinto,,
viaggiatori investigati,bri,stn,2024-02-07 09:50:00,bari,londra,regno unito,9.0,182.0,,,,,,,,,,,,,,,,,,,,
allarmi generati,fco,cai,2024-02-07 10:00:00,roma,cairo,egitto,5.0,13.0,tsc,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,lin,lhr,2024-02-07 10:30:00,milano,londra,regno unito,2.0,149.0,tsc,,,,,,,,,,,,,,,,,,,
allarmi chiusi,fco,spx,2024-02-07 11:05:00,roma,giza,egitto,5.0,17.0,,,,,,,,,,,,,,,,,,,,
voli disponibili,aoi,tia,2024-02-07 11:20:00,ancona,tirana,albania,8.0,1.0,sdi,,,alb,ancona,tirana,albania,8.0,50.0,50.0,6.0,visto,f,46-60,singola tratta,wizz air malta,w43855,respinto,,
voli con allarmi,flr,lcy,2024-02-07 11:25:00,firenze,londra,regno unito,8.0,1.0,sdi,,,,,,,,,,,,,,,,,,,
allarmi generati,flr,lcy,2024-02-07 11:25:00,firenze,londra,regno unito,8.0,2.0,nsis,,,,,,,,,,,,,,,,,,,
voli investigati,mxp,edi,2024-02-07 11:30:00,milano,edinburgh,regno unito,2.0,,tsc,,,,,,,,,,,,,,,,,,,
voli con allarmi,mxp,lhr,2024-02-07 11:40:00,milano,londra,regno unito,2.0,1.0,,,,,,,,,,,,,,,,,,,,
voli disponibili,bgy,stn,2024-02-07 11:55:00,bergamo,londra,regno unito,2.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,mxp,icn,2024-02-07 12:10:00,milano,seoul,corea del sud,2.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,vce,stn,2024-02-07 12:20:00,venezia,londra,regno unito,4.0,175.0,nsis,,,,,,,,,,,,,,,,,,,
voli con allarmi,vce,stn,2024-02-07 12:20:00,venezia,londra,regno unito,4.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
allarmi chiusi,goa,tia,2024-02-07 12:25:00,genova,tirana,albania,1.0,34.0,nsis,,,alb,genova,tirana,albania,1.0,166.0,168.0,24.0,visto,f,61+,singola tratta,wizz air malta,w46637,in attesa,,
esito negativo,fco,cmn,2024-02-07 13:00:00,roma,casablanca,marocco,5.0,31.0,interpol,,,,,,,,,,,,,,,,,,,
voli con allarmi,vce,ist,2024-02-07 13:05:00,venezia,istanbul,turchia,4.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
voli con allarmi,mxp,kut,2024-02-07 13:30:00,milano,kutaisi,georgia,2.0,1.0,interpol,,,,,,,,,,,,,,,,,,,
voli investigati,tsf,ltn,2024-02-07 13:45:00,treviso,londra,regno unito,4.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,tsf,ltn,2024-02-07 13:45:00,treviso,londra,regno unito,4.0,1.0,sdi,,,,,,,,,,,,,,,,,,,
voli disponibili,mxp,stn,2024-02-07 13:55:00,milano,londra,regno unito,2.0,1.0,,,,alb,milano,londra,regno unito,2.0,4.0,4.0,0.0,permesso di soggiorno,m,61+,singola tratta,ryanair dac,fr2759,respinto,,
allarmi generati,mxp,stn,2024-02-07 13:55:00,milano,londra,regno unito,2.0,6.0,manuale,,,alb,milano,londra,regno unito,2.0,4.0,4.0,0.0,permesso di soggiorno,m,61+,singola tratta,ryanair dac,fr2759,respinto,,
